station_id,name,system_id,type_id,owner_corp_id,owner_corp_name,race_id,reprocessing_efficiency,reprocessing_stations_take,max_dockable_ship_volume,x,y,z,services
60000004,Muvolailen X - Moon 3 - CBD Corporation Storage,30002780,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,1723680890880.0,256414064640.0,-60755435520.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000007,Ono V - Moon 9 - CBD Corporation Storage,30002779,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,-640881254400.0,-65580441600.0,-506471424000.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000010,Annaro I - CBD Corporation Storage,30002776,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,2234081280.0,327966720.0,35834142720.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000013,Ono V - Moon 2 - CBD Corporation Storage,30002779,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,-640134881280.0,-65504993280.0,-507244339200.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000016,Tasabeshi VIII - Moon 13 - CBD Corporation Storage,30002778,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,-5865870581760.0,-654233640960.0,2584889794560.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000019,Tasabeshi VI - Moon 1 - CBD Corporation Storage,30002778,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,-701220986880.0,-78208819200.0,1824795402240.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000022,Ney X - Moon 15 - CBD Corporation Storage,30002650,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,1237879480320.0,10972569600.0,7508090880.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000025,Ardene VIII - Moon 5 - CBD Corporation Storage,30002648,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,2035178741760.0,-405832949760.0,735734538240.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000028,Schoorasana VI - Moon 1 - CBD Corporation Storage,30002654,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,-946854666240.0,-170430013440.0,694899548160.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
60000031,Schoorasana VI - Moon 6 - CBD Corporation Storage,30002654,1531,1000002,CBD Corporation,1,0.5,0.05,50000000.0,-947635937280.0,-170569605120.0,694779863040.0,"courier-missions,reprocessing-plant,market,repair-facilities,fitting,news,storage,insurance,docking,office-rental,loyalty-point-store,navy-offices"
