system_id,system_name,security_status,security_class,constellation_id,star_id,planet_count,moon_count,station_count,stations,has_stargates
30000001,Tanoo,0.8583240509033203,B,20000001,40000001,6,7,2,"60012526,60014437",True
30000003,Akpivem,0.8462923765182495,B,20000001,40000040,7,69,0,,True
30000005,Sasta,0.8143367171287537,B,20000001,40000190,9,81,1,60012124,True
30000007,Yuzier,0.9065555334091187,B,20000001,40000332,8,30,3,"60012127,60013861,60014434",True
30000002,Lashesih,0.7516891360282898,B,20000001,40000019,7,9,0,,True
30002973,Lisudeh,0.7591685652732849,B,20000435,40188691,7,58,8,"60001174,60001177,60001183,60007045,60008218,60008296,60008299,60008992",True
30000084,Asghatil,0.7947781682014465,B,20000012,40005413,9,19,1,60013012,True
30000052,Maspah,0.7999009490013123,B,20000008,40003270,7,44,2,"60012943,60012946",True
30000004,Jark,0.8170005083084106,B,20000001,40000129,7,43,0,,True
30002509,Odatrik,0.816178560256958,D,20000367,40159559,11,46,3,"60009109,60009112,60009115",True
30000032,Hasiari,0.7981876134872437,B,20000005,40002132,9,13,1,60012544,True
30000006,Zaid,0.864229142665863,B,20000001,40000291,9,25,0,,True
30000023,Fovihi,0.8693943619728088,B,20000004,40001581,7,49,2,"60012541,60014461",True
30000008,Nirbhi,0.8821157217025757,B,20000001,40000381,10,71,0,,True
30000076,Tidacha,0.8200990557670593,B,20000011,40004754,9,91,1,60012553,True
30000057,Nikh,0.7741984724998474,B,20000009,40003473,8,53,1,60014407,True
30000009,Sooma,0.5778194665908813,B1,20000002,40000471,10,44,1,60012295,True
30000010,Chidah,0.5390520095825195,B1,20000002,40000532,10,51,3,"60012304,60012307,60012547",True
30000011,Shenela,0.4569593667984009,B1,20000002,40000604,6,45,0,,True
30000013,Onsooh,0.4428166449069977,B2,20000002,40000769,10,66,0,,True
30000038,Dooz,0.4237288534641266,B2,20000006,40002477,6,26,0,,True
30000012,Asabona,0.3228842616081238,B2,20000002,40000662,11,78,1,60012292,True
30000073,Irshah,0.42950665950775146,B2,20000010,40004497,10,53,1,60014425,True
30000014,Shamahi,0.3552422821521759,B2,20000002,40000860,10,61,1,60012298,True
30000015,Sendaya,0.2939329743385315,B2,20000002,40000941,9,35,1,60012301,True
30000016,Nazhgete,0.39149704575538635,B2,20000002,40000999,10,67,0,,True
30000090,Ilahed,0.31594347953796387,B2,20000013,40005902,8,52,0,,True
30000098,Kehrara,0.36484402418136597,B2,20000014,40006395,7,45,2,"60012538,60013864",True
30000018,Kazna,0.23126262426376343,B3,20000003,40001182,7,70,0,,True
30000046,Mifrata,0.3038029968738556,B2,20000007,40002919,7,44,0,,True
30001047,Doril,-0.014319277368485928,I,20000153,40066724,5,25,2,"60012238,60012781",True
30000017,Futzchag,0.17222855985164642,B3,20000003,40001095,11,66,2,"60014071,60014074",True
30000020,Lilmad,0.16044919192790985,B3,20000003,40001344,8,56,0,,True
30000022,Jayneleb,0.11383995413780212,B3,20000003,40001498,9,61,0,,True
30000019,Podion,0.10970497131347656,B3,20000003,40001265,9,59,1,60013867,True
30000021,Kuharah,-1.0,B3,20000788,40001414,8,65,0,,True
30002770,Tunudan,-1.0,C1,20000788,40175854,11,56,2,"60001471,60001618",True
30045328,Ahtila,-1.0,N/A,20000788,40348813,9,13,0,,True
30000024,Kiereend,0.8408345580101013,B,20000004,40001644,8,41,1,60013027,True
30000030,Kasrasi,0.5730756521224976,B1,20000004,40002037,10,35,2,"60013024,60014458",True
30000025,Rashy,0.8032659888267517,B,20000004,40001712,6,59,1,60013030,True
30000027,Psasa,0.7499132752418518,B1,20000004,40001833,3,52,0,,True
30000028,Eshtah,0.7684326171875,B,20000004,40001891,10,63,0,,True
30000026,Ordize,0.6955641508102417,B1,20000004,40001784,7,34,0,,True
30000029,Lachailes,0.5730512142181396,B1,20000004,40001984,6,38,0,,True
30000064,Zet,0.5696976780891418,B1,20000009,40003950,8,70,0,,True
30000112,Arnola,0.4628354012966156,B1,20000016,40007386,7,10,1,60014452,True
30000031,Mohas,0.6817834377288818,B1,20000005,40002087,9,27,1,60007573,True
30000033,Radima,0.7539199590682983,B,20000005,40002157,12,62,1,60012154,True
30000035,Nimambal,0.5940505862236023,B1,20000005,40002287,10,37,0,,True
30000034,Alkez,0.7821229100227356,B,20000005,40002242,8,33,2,"60007576,60012157",True
30000036,Yishinoon,0.4247181713581085,B2,20000005,40002340,7,52,0,,True
30000114,Ubtes,0.33607324957847595,B2,20000016,40007459,10,28,0,,True
30000037,Uplingur,0.4220693111419678,B2,20000005,40002417,4,45,3,"60007579,60007582,60013870",True
30002508,Trytedald,0.8796585202217102,D,20000367,40159465,9,76,8,"60005050,60007477,60007480,60007483,60007486,60007489,60007492,60009118",True
30000039,Bayuka,0.40072202682495117,B2,20000006,40002514,10,71,1,60012535,True
30000040,Uzistoon,0.3906455934047699,B2,20000006,40002611,8,36,3,"60012172,60012175,60014095",True
30000043,Sari,0.3793431222438812,B2,20000006,40002758,9,51,0,,True
30000041,Bairshir,0.3640877604484558,B2,20000006,40002665,6,49,1,60014098,True
30000042,Moh,0.4728350043296814,B1,20000006,40002724,7,20,0,,True
30000100,Timeor,0.31413108110427856,B2,20000014,40006541,12,72,0,,True
30000044,Faspera,0.12825848162174225,B3,20000007,40002837,8,6,1,60012163,True
30000045,Jaymass,0.21631133556365967,B3,20000007,40002857,7,48,0,,True
30000048,Ihal,0.4927012324333191,B1,20000007,40003059,10,72,0,,True
30000049,Camal,0.21297688782215118,B3,20000007,40003157,9,13,1,60012160,True
30000047,Majamar,0.36918625235557556,B2,20000007,40002979,10,54,0,,True
30000050,Fera,0.47724634408950806,B1,20000007,40003186,4,2,0,,True
30000106,Shedoo,0.5061177611351013,B1,20000015,40007008,13,55,0,,True
30000051,Juddi,0.6491366624832153,B1,20000008,40003196,11,52,1,60012949,True
30000053,Ibaria,0.7309787273406982,B1,20000008,40003335,4,3,1,60014137,True
30000109,Berta,0.4895572364330292,B1,20000015,40007185,6,44,1,60012550,True
30000056,Khankenirdia,0.6135958433151245,B1,20000008,40003419,10,38,1,60012529,True
30000054,Shala,0.7155637741088867,B1,20000008,40003347,8,27,0,,True
30000055,Zemalu,0.7251585125923157,B1,20000008,40003391,9,13,1,60014140,True
30000058,Amphar,0.7021870017051697,B1,20000009,40003542,9,55,0,,True
30000061,Agha,0.7187826037406921,B1,20000009,40003707,10,79,1,60014404,True
30000068,Usroh,0.5974575281143188,B1,20000009,40004285,10,20,0,,True
30000105,Abha,0.43410131335258484,B2,20000014,40006965,9,27,0,,True
30000059,Salashayama,0.6655862331390381,B1,20000009,40003620,8,26,1,60012148,True
30000060,Janus,0.5455705523490906,B1,20000009,40003659,10,29,0,,True
30000062,Iosantin,0.4503433406352997,B1,20000009,40003807,8,36,0,,True
30000063,Orva,0.5099495649337769,B1,20000009,40003866,10,62,0,,True
30000065,Akhrad,0.35847651958465576,B2,20000009,40004035,12,57,0,,True
30000067,Sharir,0.3968486785888672,B2,20000009,40004220,10,40,0,,True
30000069,Thiarer,0.542032778263092,B1,20000009,40004325,9,32,1,60012151,True
30000066,Pirohdim,0.628696084022522,B1,20000009,40004122,8,77,0,,True
30000118,Uanzin,0.433972030878067,B2,20000016,40007716,8,33,1,60014455,True
30000070,Gomati,0.38742130994796753,B2,20000010,40004375,10,47,0,,True
30000085,Bar,0.6658381223678589,B1,20000012,40005449,10,60,0,,True
30000074,Hasateem,0.4264964163303375,B2,20000010,40004568,7,44,5,"60006484,60006487,60006493,60007648,60014065",True
30000075,Assah,0.297802209854126,B2,20000010,40004637,9,80,4,"60006490,60012166,60014422,60015176",True
